"","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24","PC25","PC26","PC27","PC28","PC29","PC30","PC31","PC32","PC33","PC34","PC35","PC36","PC37","PC38","PC39","PC40","PC41","PC42","PC43","PC44","PC45","PC46"
"B4053_RML_6wks_Brain_20070103_41079_RH.CEL",-81.3427433876459,44.501904016537,-106.162840157804,-13.3626038884018,2.67900474425049,27.3868391562136,3.59747203828801,2.20869595795307,6.03392833343868,-4.40243555988714,1.33993202262409,-3.70113166319802,-10.4481212371157,7.51678176176989,-9.19081643354624,6.60550225355177,3.36871943070812,-0.207555039706378,5.50485400682061,7.70700626813429,-11.2975110643742,11.6464463061653,17.8627680597389,-13.3305029766352,7.72767331791804,3.48352620284637,-3.73897598207807,-9.81584591650734,3.19960352133473,0.648566967012207,-2.76158954343886,-9.84533692743444,2.91246572862344,-11.5299563699063,-11.4501525025196,7.6118040747217,1.19438191253634,2.75728180709711,-8.84610558881988,5.84999791212206,0.427232951414924,3.27482644416324,1.05656936147172,2.94762397115585,-0.36900365876421,-1.31443467221715e-13
"B4053_RML_6wks_Brain_20070103_41116_LH.CEL",-53.4045625908269,-34.4947692037341,13.6848433530301,37.6829942423199,-15.2196981830916,11.3897243639681,32.9595696206236,-27.8381434962972,6.31049012800014,11.4510271236776,3.9586797809342,-6.58373840463563,-11.4631852136821,7.84753450582899,4.63451638624225,-2.3815466611152,-4.34667396582283,1.15338167096497,-8.34002394959872,-13.3696893826492,1.27408043199614,-4.49855930568358,0.372824850318956,6.99056672718639,-26.2981001937014,3.14891289388994,-1.66939860772506,-6.17058377053957,-5.82327197368421,-8.4188267247181,4.15853270539749,-4.79317253006078,-8.67048560053443,-6.47992929404386,-3.95774440934884,12.2617845784422,-11.7205652730522,-6.51416493396252,-8.85795511996209,5.21531808737438,0.213343031443801,-3.11389036698001,8.92593755949318,0.776061160427712,-0.204832022787905,-2.14586161340069e-13
"B4053_RML_6wks_Brain_20070103_41116_RH.CEL",-77.1853585635199,49.9043556334464,-86.2464242490549,-43.9017317727204,28.2813629049486,37.3746632444917,26.3767621528131,-8.37971168582004,7.19390425192285,-0.406000674621265,-18.5495330358992,11.5894204963592,3.95403283613091,0.836570149616622,0.0546511288747453,-8.58402340030057,-2.85035879239594,-4.08928382098668,-1.53816182971067,-2.8965031197537,8.9364860572687,-6.35775102363884,-16.1045559103196,11.2064608967161,-7.12629198154689,-4.01887206287395,3.61007716955541,5.8255432000363,-3.07846648337093,0.63787468244725,-0.174584357024408,10.1887630441604,-4.81461442278337,6.97087919107292,9.47304679715658,-6.68137336848025,-0.813542045668105,-1.31391084161392,6.43697504793136,-2.91175074870035,-0.919612143788577,-5.00354588414298,-1.1614326471099,-1.1665303195552,1.30382802999655,-1.83859004410092e-13
"B4053_RML_7wks_Brain_20070104_41086_LH.CEL",-50.5764075520932,-3.90637016228016,6.08118537302008,42.6457793002859,18.5222090480904,-3.8749877166816,17.4985742800183,6.38459019683382,-4.6989562720434,-0.701865435408289,-0.528856261666425,3.80348032970394,12.4187770198417,2.99711547878747,1.31495763796408,-1.32046922445892,-6.25212158636336,-0.679857338550485,0.626229662837312,5.58922998895354,-5.14363809855016,-7.40563988725335,-4.79759207340535,-0.212822883414099,13.1201518577841,1.61454986575683,0.860358803597717,-13.2398858785738,4.06718080084219,-2.37647400328194,4.59534998943656,0.822573577785825,-4.1671947670693,-5.43520639809505,8.82116713396727,-6.09264111545374,0.56710435422887,-0.356990933194644,14.9073282719337,30.0935895741863,0.207840989997671,9.70557339241007,1.08404815663181,-12.2649135262346,-2.16758406764448,-2.28655636091979e-13
"B4053_RML_7wks_Brain_20070104_41086_RH.CEL",-76.2217386056668,17.5420698361428,-9.6767654858716,20.7906710949043,25.389739726506,-10.161559115228,10.0182100757449,1.61693576636774,-8.20806205654618,14.3460864834003,23.6739116904301,-19.4715610124351,5.02005759438081,8.53437016464644,13.5606010220281,-11.4037784812975,-12.2402049054616,-1.00048440709126,-7.65664673464966,6.21101543737371,-3.38524554928648,-13.4508748970802,-0.980281880550065,11.0494524635118,9.75472551444188,2.01437720486322,-16.4749000087417,-2.81538039469438,8.69912175592798,10.9353644616321,-8.30226993502967,-7.48880781060046,5.97005725176982,3.82562169016109,3.60727335080432,-2.91996457794461,6.92078809448898,-1.14418488005492,-11.673944320942,-13.6062674326573,-2.34523194388771,-6.67420956499674,-4.01386697478775,-6.36174005853475,3.45412499307852,-2.37728239871338e-13
"B4053_RML_7wks_Brain_20070104_41088_LH.CEL",-36.0244153053422,9.06582212716203,36.5548878520944,6.0244720425768,29.9899388690928,-2.63782684439085,8.46522698164009,0.453505863435997,-20.5635733257101,5.06615997699801,-16.9544922256675,9.125596528863,3.84702805363526,-0.88221062683835,3.37121110544892,-5.22551563915791,3.59029300754852,-9.51016861408278,1.63502460244014,1.85332644781916,0.824040057806857,11.6234446102937,8.93852812776284,1.98212015248558,13.477309888424,-7.41297895198297,-0.782234825318802,19.7860441930225,-6.50195820039354,-16.0757879867008,-0.422364046134653,-5.30980939846185,-5.13309695814019,5.28886177207058,8.32434540210936,13.749477125226,1.73128243567129,16.7090121896649,-13.2541886920398,0.742071911532292,-3.46277634146556,0.993586874260536,11.4698332831365,-4.34224996146421,1.93967895054214,-2.48431483718115e-13
"B4053_RML_7wks_Brain_20070104_41088_RH.CEL",-54.9304206766481,-18.2698070582889,7.25246805044008,54.8356274902701,18.4973964925431,3.71683835888156,10.4184958158478,-7.95864797619864,-7.4150104722015,7.32091445593884,-10.2337609690058,7.27164873454055,-1.97767968147666,-10.2325803655965,-0.382194206499014,2.30973180157128,-0.113283918255964,-0.570955205795987,-1.68337639437144,1.50467536646278,1.12663719923648,-1.0472702089539,-2.6548250120233,-0.537059896562728,14.6421471890739,-5.92398928575617,18.829937020447,-3.26817045044434,-10.5957620380317,8.01810031685647,-0.353986041828647,14.4323664553749,-7.41051133401951,-11.8622753543643,-18.0003080962462,1.14397208918997,7.43735989551563,-4.77299552294499,1.76588052483682,-16.5306111471083,-6.59713914478592,5.11678784162043,-6.36229669952136,6.15995563227709,-0.751948419494491,-2.37602472419329e-13
"B4053_RML_8wks_Brain_20070104_41069_LH.CEL",-46.0404765454161,33.7096608444567,12.1720008244193,34.845753152388,43.1386352971754,-10.7904538311989,-17.5528880012933,3.94312352841898,5.76702616701723,-18.9259823698381,-12.5841278123593,-4.64655074573512,-3.6906815914511,-0.293892890166096,-7.79685632071293,-0.368660280884279,6.00324410379911,-9.46525098204464,2.31345929236305,6.39617545041361,-5.44220383311331,-9.42178201398704,5.31412856105687,-1.82066705086983,-10.130193804823,8.45003802982104,-5.78038755423523,6.42539682241783,10.7237584284522,5.08353206325486,27.4172392417383,-6.28121798515815,0.726456837746424,-0.824531812582578,2.36811425813484,1.6295868261948,-10.3825947400912,5.4239858478979,11.0361368335384,-10.0328704267534,2.91129614989241,-4.44205379118968,-1.55127072929123,8.02274211950864,-3.49102870107926,-2.3244080271656e-13
"B4053_RML_8wks_Brain_20070104_41069_RH.CEL",-61.0846648312918,43.4927860841735,9.80888301770887,25.7383063788317,46.2417392789875,-8.23823586704476,-45.4404820043508,-0.168564003353627,19.4145598018234,-0.657871422202507,10.8687677961086,5.26373351124398,-1.13862350757177,-9.68380066335124,-7.34509143622857,4.47741153998968,10.291853719819,7.88796315122273,5.35425720883183,-4.26298716287985,9.36904078111316,4.97069224814934,-12.4183747878008,-0.20428087595023,-13.1493873947458,1.7992023598787,3.27144946965217,-4.61322461877226,-4.92232531623782,2.62976626502786,-13.8520524512566,8.06587067369736,4.73300661035708,2.15893917637736,1.74055766189391,-1.65811646043667,-6.0715487358428,5.34210698508119,-16.1400846761131,5.03790358488119,6.90446429618618,9.03627255678539,-1.54160643316784,-7.13775606581419,1.98121997029339,-2.28470020680049e-13
"B4053_RML_8wks_Brain_20070104_41071_LH.CEL",-26.1674748729723,20.7402579730255,44.3621110982337,-3.43576192490907,22.5010986136502,6.67215038833091,-10.755646595272,-7.3466370596204,-2.16911532148576,-3.18291919675601,1.24834649509766,2.49679888805686,-7.53039909159164,6.65551863788553,-0.173965449575993,-0.5995608603366,4.85514444396823,0.30999976171745,0.840398441641322,-0.0342373336779969,-0.665043217995178,8.57548294729661,7.1272872151535,-9.08101212036223,-0.0137575383997245,-9.39184794685145,6.41130429557239,-0.32042086825935,-0.346457647146205,-2.62577321878966,-11.0034363016451,-3.89809904607611,4.80811199398943,3.68567082727186,-6.22994105852999,-5.76970136217047,-3.44666748427303,-13.7735041618642,8.3986705157021,2.70845391563397,-8.43855806916591,-27.4256988780985,1.25072651809648,-12.1147017671725,-16.3717575237903,-2.59541520220008e-13
"B4053_RML_8wks_Brain_20070104_41071_RH.CEL",-48.7200431571093,45.3840701334631,30.6018517921817,-9.23936144437846,25.1504931082202,-3.70074429233977,-21.2152867758177,-1.12479673322616,-15.7050734108973,0.624050874823378,5.4328934282619,5.44411619981545,3.55369246056447,19.8887953354741,4.3960304985065,3.60090969398113,-3.8671334061439,3.54513447005994,-7.67693651472476,-12.64127197177,-0.070853710071122,3.39050319098424,5.32487127615075,-0.0654935232534002,-1.22259413242672,-4.51826476078344,-7.07788757239343,-4.0207736467967,-3.77886468634306,-11.5757257306506,-6.35863270623233,-2.17268779510548,-1.34998691228785,5.56879132505133,-2.30253965361608,-3.56146559801344,8.75903595064645,-12.6362554521332,11.9944889128859,3.42340379000738,2.88317876770863,5.6841451254806,2.76797465548406,24.2313750972888,12.7785977358667,-2.49295376009151e-13
"B4053_clean_1wk_Brain_20050425_17809.CEL",69.9164135137902,8.76800541035541,-41.4888306094958,3.39152370978556,-5.25340733061655,-40.3529254545995,-8.18467241973321,-19.5762370160885,-29.501914022714,13.2606872571678,-15.1438569242805,-20.2056964416398,-3.84556137070074,1.21620502562729,-36.4387527105496,-18.547624023637,-15.2640651766927,12.6612715659021,2.92580431473565,4.71937868963743,9.3102611237677,5.86950096993036,-2.15392783998435,-0.630529210010744,-2.81820603690578,0.600181280232805,3.94671035318095,-0.741719325774648,2.24178797097102,-0.177826628159374,-4.04504596915869,0.401773218314909,-2.17486601883866,-1.66266588235223,2.51180922051772,-0.10088456449535,-0.229962270895114,-0.911900527667238,2.29521399432738,0.95927320048621,3.28038060190373,-2.36257598884296,2.27544267457014,0.777084108353301,-0.340252161111782,-2.16557674570517e-13
"B4053_clean_1wk_Brain_20050426_17824.CEL",35.0315907354856,11.9558653042831,-6.60753295451936,-15.1470760171473,0.795058929348443,-37.9646056358122,1.70952677965027,1.08218646910241,15.2416368083678,11.7386097442983,-28.9332942432641,7.75386274166617,-23.0410949076569,-0.651856507783817,10.0363413822336,18.9038805318252,2.64719170997562,8.02042896424132,-6.0032761277313,-7.73919612532819,-12.0227144482074,1.48194837109301,-8.83006225225483,16.609270670848,13.3549212945202,19.3428708053436,4.67776920064119,-11.312300057564,3.59390832053363,-4.54089330303596,-1.58409393365114,-6.18087298507271,3.55356087959264,7.04263080025729,0.279577310213628,0.777791450265679,-1.64732463115803,-0.255940595669091,-2.17052726897108,-0.567668670083491,-3.99429836686343,-3.77500303522067,-0.402416337300084,0.501566830417737,-0.422470112713739,-2.28801352863961e-13
"B4053_clean_1wk_Brain_20050426_17826.CEL",44.4215793167972,14.7558799995022,-11.3078679232355,-22.0862129702522,7.91245192089801,-42.1231569066214,6.9294285583726,-19.6715727813497,15.4560268363472,6.48306957374797,-2.01812752234967,3.44684513523816,-20.2256141032351,-11.7248362033921,22.5128100692629,-3.16954626635268,-1.31747649592617,-3.39850399616933,15.2544494335156,11.4568592780549,-4.021172044207,-7.84992918417105,11.5375679547877,-7.56446649126022,-6.59159816061441,-16.2831297407127,-15.8472072221675,0.838889286249899,-11.8639900701302,1.48511489405832,0.265838944420673,11.8550118738726,1.21001025843059,-8.61425802472473,3.24294772608183,0.559593468227238,4.76060380157553,-3.12732684539897,5.92447179367583,0.822578398828879,4.74727854618152,3.47342891387069,2.31885834313894,-2.99140607650974,1.58001831342209,-2.33160712959091e-13
"B4053_clean_2wks_Brain_20050426_17811.CEL",65.2332404553087,1.66669268570807,-1.99813143252782,-3.75033399373711,5.06171104916599,-5.30097139870449,14.9169089335433,-13.5765169294451,2.03697990390888,-1.0624259882878,5.39075457622509,-5.86460106411017,-2.57365552665482,-2.20517456427345,2.56267968493394,0.580483417164304,9.0786394533269,-3.86674216267375,-9.09767202412683,11.2406640017702,18.2737500478667,7.32098350020347,7.01580246245996,2.6175810587615,-3.17029046886431,-7.74678886179851,5.02447733304922,-5.96504942153226,-10.0530818863064,4.4559685249631,13.6664215051968,-15.0830476168706,3.94754843664309,11.3750485474403,-3.65837925604693,-23.469969762782,-1.77164654101271,3.95589338348549,-9.02698478254684,5.95133109993909,-16.3408847238499,8.70256586286816,-3.21144018296692,5.41369136270986,-0.0176961251496315,-2.01262617682829e-13
